,id,firstname,surname,born,died,bornCountry,bornCountryCode,bornCity,diedCountry,diedCountryCode,diedCity,gender,year,category,overallMotivation,share,motivation,name,city,country,bornYear
17,836,Carol W.,Greider,15.04.61,,USA,US,"San Diego, CA",,,,female,2009,medicine,,3,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",Johns Hopkins University School of Medicine,"Baltimore, MD",USA,1961
18,835,Elizabeth H.,Blackburn,26.11.48,,Australia,AU,"Hobart, Tasmania",,,,female,2009,medicine,,3,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",University of California,"San Francisco, CA",USA,1948
19,79,Maria,Goeppert Mayer,28.06.06,2/20/1972,Germany (now Poland),PL,Kattowitz (now Katowice),USA,US,"San Diego, CA",female,1963,physics,,4,"""for their discoveries concerning nuclear shell structure""",University of California,"La Jolla, CA",USA,1906
20,453,Christiane,Nôsslein-Volhard,20.10.42,,Germany,DE,Magdeburg,,,,female,1995,medicine,,3,"""for their discoveries concerning the genetic control of early embryonic development""",Max-Planck-Institut fôr Entwicklungsbiologie,Tôbingen,Federal Republic of Germany,1942
21,904,May-Britt,Moser,04.01.63,,Norway,NO,Fosnavëg,,,,female,2014,medicine,,19,"""for their discoveries of cells that constitute a positioning system in the brain""",Norwegian University of Science and Technology (NTNU),Trondheim,Norway,1963
22,435,Rita,Levi-Montalcini,22.04.09,12/30/2012,Italy,IT,Turin,Italy,IT,Rome,female,1986,medicine,,2,"""for their discoveries of growth factors""",Institute of Cell Biology of the C.N.R.,Rome,Italy,1909
23,438,Gertrude B.,Elion,23.01.18,2/21/1999,USA,US,"New York, NY",USA,US,"Chapel Hill, NC",female,1988,medicine,,3,"""for their discoveries of important principles for drug treatment""",Wellcome Research Laboratories,"Research Triangle Park, NC",USA,1918
24,775,Linda B.,Buck,29.01.47,,USA,US,"Seattle, WA",,,,female,2004,medicine,,2,"""for their discoveries of odorant receptors and the organization of the olfactory system""",Fred Hutchinson Cancer Research Center,"Seattle, WA",USA,1947
25,824,Franoise,Barr_-Sinoussi,30.07.47,,France,FR,Paris,,,,female,2008,medicine,,4,"""for their discovery of human immunodeficiency virus""","Regulation of Retroviral Infections Unit, Virology Department, Institut Pasteur",Paris,France,1947
26,344,Gerty Theresa,"Cori, n_e Radnitz",1896-08-15,10/26/1957,Austria-Hungary (now Czech Republic),CZ,Prague,USA,US,"St. Louis, MO",female,1947,medicine,,4,"""for their discovery of the course of the catalytic conversion of glycogen""",Washington University,"St. Louis, MO",USA,1896
32,579,Selma Ottilia Lovisa,Lagerl_f,1858-11-20,3/16/1940,Sweden,SE,Mërbacka,Sweden,SE,Mërbacka,female,1909,literature,,1,"""in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings""",,,,1858
33,6,Marie,"Curie, n_e Sklodowska",1867-11-07,07.04.34,Russian Empire (now Poland),PL,Warsaw,France,FR,Sallanches,female,1911,chemistry,,1,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element""",Sorbonne University,Paris,France,1867
35,6,Marie,"Curie, n_e Sklodowska",1867-11-07,07.04.34,Russian Empire (now Poland),PL,Warsaw,France,FR,Sallanches,female,1903,physics,,4,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",,,,1867
36,194,Irne,Joliot-Curie,1897-09-12,3/17/1956,France,FR,Paris,France,FR,Paris,female,1935,chemistry,,2,"""in recognition of their synthesis of new radioactive elements""",Institut du Radium,Paris,France,1897
37,892,Alice,Munro,10.07.31,,Canada,CA,Wingham,,,,female,2013,literature,,1,"""master of the contemporary short story""",,,,1931
38,601,Sigrid,Undset,1882-05-20,06.10.49,Denmark,DK,Kalundborg,Norway,NO,Lillehammer,female,1928,literature,,1,"""principally for her powerful descriptions of Northern life during the Middle Ages""",,,,1882
39,817,Doris,Lessing,22.10.19,11/17/2013,Persia (now Iran),IR,Kermanshah,United Kingdom,GB,London,female,2007,literature,,1,"""that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny""",,,,1919
40,670,Toni,Morrison,18.02.31,,USA,US,"Lorain, OH",,,,female,1993,literature,,1,"""who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality""",,,,1931
41,668,Nadine,Gordimer,19.11.23,7/13/2014,South Africa,ZA,Springs,South Africa,ZA,Johannesburg,female,1991,literature,,1,"""who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity""",,,,1923
42,844,Herta,Môller,17.08.53,,Romania,RO,"Nitzkydorf, Banat",,,,female,2009,literature,,1,"""who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed""",,,,1953
50,572,BjËrnstjerne Martinus,BjËrnson,1832-12-08,4/26/2010,Norway,NO,Kvikne,France,FR,Paris,male,1903,literature,,1,"""as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""",,,,1832
51,580,Paul Johann Ludwig,Heyse,1830-03-15,04.02.14,Prussia (now Germany),DE,Berlin,Germany,DE,Munich,male,1910,literature,,1,"""as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories""",,,,1830
52,584,Romain,Rolland,1866-01-29,12/30/1944,France,FR,Clamecy,France,FR,V_zelay,male,1915,literature,,1,"""as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings""",,,,1866
53,832,Jean-Marie Gustave,Le Cl_zio,13.04.40,,France,FR,Nice,,,,male,2008,literature,,1,"""author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization""",,,,1940
54,575,Henryk,Sienkiewicz,1846-05-05,11/15/2016,Poland,PL,Wola Okrzejska,Switzerland,,Vevey,male,1905,literature,,1,"""because of his outstanding merits as an epic writer""",,,,1846
55,583,Rabindranath,Tagore,1861-05-07,08.07.41,India,IN,Calcutta,India,IN,Calcutta,male,1913,literature,,1,"""because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West""",,,,1861
56,868,Tomas,Transtr_mer,15.04.31,3/26/2015,Sweden,SE,Stockholm,Sweden,SE,Stockholm,male,2011,literature,,1,"""because, through his condensed, translucent images, he gives us fresh access to reality""",,,,1931
57,653,Vicente,Aleixandre,1898-04-26,12/14/1984,Spain,ES,Sevilla,Spain,ES,Madrid,male,1977,literature,,1,"""for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry between the wars""",,,,1898
58,649,Eyvind,Johnson,29.07.00,8/25/1976,Sweden,SE,Svartbj_rnsbyn,Sweden,SE,Stockholm,male,1974,literature,,2,"""for a narrative art, far-seeing in lands and ages, in the service of freedom""",,,,1900
59,717,Robert C.,Merton,31.07.44,,USA,US,"New York, NY",,,,male,1997,economics,,2,"""for a new method to determine the value of derivatives""",Harvard University,"Cambridge, MA",USA,1944
60,718,Myron S.,Scholes,01.07.41,,Canada,CA,"Timmins, ON",,,,male,1997,economics,,2,"""for a new method to determine the value of derivatives""",Long Term Capital Management,"Greenwich, CT",USA,1941
61,669,Derek,Walcott,23.01.30,,Saint Lucia,LC,Castries,,,,male,1992,literature,,1,"""for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment""",,,,1930
62,645,Pablo,Neruda,12.07.04,9/23/1973,Chile,CL,Parral,Chile,CL,Santiago,male,1971,literature,,1,"""for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams""",,,,1904
63,666,Camilo Jos_,Cela,11.05.16,1/17/2002,Spain,ES,Iria Flavia,Spain,ES,Madrid,male,1989,literature,,1,"""for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability""",,,,1916
64,734,Gao,Xingjian,04.01.40,,China,CN,Ganzhou,,,,male,2000,literature,,1,"""for an &aelig;uvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama""",,,,1940
65,664,Joseph,Brodsky,24.05.40,1/28/1996,USSR (now Russia),RU,Leningrad (now Saint Petersburg),USA,US,"New York, NY",male,1987,literature,,1,"""for an all-embracing authorship, imbued with clarity of thought and poetic intensity""",,,,1940
66,648,Patrick,White,28.05.12,9/30/1990,United Kingdom,GB,London,Australia,AU,Sydney,male,1973,literature,,1,"""for an epic and psychological narrative art which has introduced a new continent into literature""",,,,1912
67,727,Herbert,Kroemer,25.08.28,,Germany,DE,Weimar,,,,male,2000,physics,"""for basic work on information and communication technology""",4,"""for developing semiconductor heterostructures used in high-speed- and opto-electronics""",University of California,"Santa Barbara, CA",USA,1928
68,726,Zhores I.,Alferov,15.03.30,,USSR (now Belarus),BY,"Vitebsk, Belorussia",,,,male,2000,physics,"""for basic work on information and communication technology""",4,"""for developing semiconductor heterostructures used in high-speed- and opto-electronics""",A.F. Ioffe Physico-Technical Institute,St. Petersburg,Russia,1930
69,154,William D.,Phillips,05.11.48,,USA,US,"Wilkes-Barre, PA",,,,male,1997,physics,,3,"""for development of methods to cool and trap atoms with laser light""",National Institute of Standards and Technology,"Gaithersburg, MD",USA,1948
70,153,Claude,Cohen-Tannoudji,01.04.33,,French Algeria (now Algeria),DZ,Constantine,,,,male,1997,physics,,3,"""for development of methods to cool and trap atoms with laser light""",Collge de France,Paris,France,1933
71,153,Claude,Cohen-Tannoudji,01.04.33,,French Algeria (now Algeria),DZ,Constantine,,,,male,1997,physics,,3,"""for development of methods to cool and trap atoms with laser light""",cole Normale Sup_rieure,Paris,France,1933
72,152,Steven,Chu,28.02.48,,USA,US,"St. Louis, MO",,,,male,1997,physics,,3,"""for development of methods to cool and trap atoms with laser light""",Stanford University,"Stanford, CA",USA,1948
73,141,Pierre-Gilles,de Gennes,24.10.32,5/18/2007,France,FR,Paris,France,FR,Orsay,male,1991,physics,,1,"""for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers""",Collge de France,Paris,France,1932
74,370,Peter Brian,Medawar,28.02.15,10.02.87,Brazil,BR,Rio de Janeiro,United Kingdom,GB,London,male,1960,medicine,,2,"""for discovery of acquired immunological tolerance""",University College,London,United Kingdom,1915
75,369,Sir Frank Macfarlane,Burnet,1899-09-03,8/31/1985,Australia,AU,Traralgon,Australia,AU,Melbourne,male,1960,medicine,,2,"""for discovery of acquired immunological tolerance""",Walter and Eliza Hall Institute for Medical Research,Melbourne,Australia,1899
76,159,Martinus J.G.,Veltman,27.06.31,,the Netherlands,NL,Waalwijk,,,,male,1999,physics,,2,"""for elucidating the quantum structure of electroweak interactions in physics""",,Bilthoven,the Netherlands,1931
77,158,Gerardus,'t Hooft,05.07.46,,the Netherlands,NL,Den Helder,,,,male,1999,physics,,2,"""for elucidating the quantum structure of electroweak interactions in physics""",Utrecht University,Utrecht,the Netherlands,1946
78,92,Louis Eugne F_lix,N_el,22.11.04,11/17/2000,France,FR,Lyon,France,FR,Brive-Corrze,male,1970,physics,,2,"""for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics""",University of Grenoble,Grenoble,France,1904
79,91,Hannes Olof G_sta,Alfv_n,30.05.08,04.02.95,Sweden,SE,Norrk_ping,Sweden,SE,Djursholm,male,1970,physics,,2,"""for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics""",Royal Institute of Technology,Stockholm,Sweden,1908
80,81,Charles Hard,Townes,28.07.15,1/27/2015,USA,US,"Greenville, SC",USA,US,"Berkeley, CA",male,1964,physics,,2,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,1915
81,83,Aleksandr Mikhailovich,Prokhorov,11.07.16,01.08.02,Australia,AU,Atherton,Russia,RU,Moscow,male,1964,physics,,4,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",P.N. Lebedev Physical Institute,Moscow,USSR,1916
82,82,Nicolay Gennadiyevich,Basov,14.12.22,07.01.01,USSR (now Russia),RU,Usman,Russia,RU,Moscow,male,1964,physics,,4,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",P.N. Lebedev Physical Institute,Moscow,USSR,1922
83,877,David J.,Wineland,24.02.44,,USA,US,"Milwaukee, WI",,,,male,2012,physics,,2,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems""",National Institute of Standards and Technology,"Boulder, CO",USA,1944
84,877,David J.,Wineland,24.02.44,,USA,US,"Milwaukee, WI",,,,male,2012,physics,,2,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems""",University of Colorado,"Boulder, CO",USA,1944
85,876,Serge,Haroche,11.09.44,,Morocco,MA,Casablanca,,,,male,2012,physics,,2,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems""",Collge de France,Paris,France,1944
86,876,Serge,Haroche,11.09.44,,Morocco,MA,Casablanca,,,,male,2012,physics,,18,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems""",cole Normale Sup_rieure,Paris,France,1944
87,838,Charles Kuen,Kao,04.11.33,,China,CN,Shanghai,,,,male,2009,physics,,2,"""for groundbreaking achievements concerning the transmission of light in fibers for optical communication""",Standard Telecommunication Laboratories,Harlow,United Kingdom,1933
88,838,Charles Kuen,Kao,04.11.33,,China,CN,Shanghai,,,,male,2009,physics,,2,"""for groundbreaking achievements concerning the transmission of light in fibers for optical communication""",Chinese University of Hong Kong,Hong Kong,China,1933
89,849,Andre,Geim,21.10.58,,Russia,RU,Sochi,,,,male,2010,physics,,2,"""for groundbreaking experiments regarding the two-dimensional material graphene""",University of Manchester,Manchester,United Kingdom,1958
90,850,Konstantin,Novoselov,23.08.74,,Russia,RU,Nizhny Tagil,,,,male,2010,physics,,2,"""for groundbreaking experiments regarding the two-dimensional material graphene""",University of Manchester,Manchester,United Kingdom,1974
91,677,Ragnar,Frisch,1895-03-03,1/31/1973,Norway,NO,Oslo,Norway,NO,Oslo,male,1969,economics,,2,"""for having developed and applied dynamic models for the analysis of economic processes""",University of Oslo,Oslo,Norway,1895
92,678,Jan,Tinbergen,12.04.03,06.09.94,the Netherlands,NL,the Hague,the Netherlands,NL,the Hague,male,1969,economics,,2,"""for having developed and applied dynamic models for the analysis of economic processes""",The Netherlands School of Economics,Rotterdam,the Netherlands,1903
93,714,Robert E.,Lucas Jr.,15.09.37,,USA,US,"Yakima, WA",,,,male,1995,economics,,1,"""for having developed and applied the hypothesis of rational expectations, and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy""",University of Chicago,"Chicago, IL",USA,1937
94,800,Thomas C.,Schelling,14.04.21,,USA,US,"Oakland, CA",,,,male,2005,economics,,2,"""for having enhanced our understanding of conflict and cooperation through game-theory analysis""","University of Maryland, Department of Economics and School of Public Policy","College Park, MD",USA,1921
95,799,Robert J.,Aumann,08.06.30,,Germany,DE,Frankfurt-on-the-Main,,,,male,2005,economics,,2,"""for having enhanced our understanding of conflict and cooperation through game-theory analysis""","University of Jerusalem, Center for RationalityHebrew",Jerusalem,Israel,1930
96,760,Vernon L.,Smith,01.01.27,,USA,US,"Wichita, KS",,,,male,2002,economics,,2,"""for having established laboratory experiments as a tool in empirical economic analysis, especially in the study of alternative market mechanisms""",George Mason University,"Fairfax, VA",USA,1927
97,708,Gary S.,Becker,02.12.30,05.03.14,USA,US,"Pottsville, PA",USA,US,"Chicago, IL",male,1992,economics,,1,"""for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour""",University of Chicago,"Chicago, IL",USA,1930
98,697,Gerard,Debreu,04.07.21,12/31/2004,France,FR,Calais,France,FR,Paris,male,1983,economics,,1,"""for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium""",University of California,"Berkeley, CA",USA,1921
99,759,Daniel,Kahneman,05.03.34,,British Mandate of Palestine (now Israel),IL,Tel Aviv,,,,male,2002,economics,,2,"""for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty""",Princeton University,"Princeton, NJ",USA,1934
100,822,Roger B.,Myerson,29.03.51,,USA,US,"Boston, MA",,,,male,2007,economics,,3,"""for having laid the foundations of mechanism design theory""",University of Chicago,"Chicago, IL",USA,1951
101,820,Leonid,Hurwicz,21.08.17,6/24/2008,Russia,RU,Moscow,USA,US,"Minneapolis, MN",male,2007,economics,,3,"""for having laid the foundations of mechanism design theory""",University of Minnesota,"Minneapolis, MN",USA,1917
102,821,Eric S.,Maskin,12.12.50,,USA,US,"New York, NY",,,,male,2007,economics,,3,"""for having laid the foundations of mechanism design theory""",Institute for Advanced Study,"Princeton, NJ",USA,1950
103,698,Richard,Stone,30.08.13,12.06.91,United Kingdom,GB,London,United Kingdom,GB,Cambridge,male,1984,economics,,1,"""for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis""",University of Cambridge,Cambridge,United Kingdom,1913
104,709,Robert W.,Fogel,01.07.27,06.11.13,USA,US,"New York, NY",USA,US,"Oak Lawn, IL",male,1993,economics,,2,"""for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change""",University of Chicago,"Chicago, IL",USA,1927
105,710,Douglass C.,North,05.11.20,11/23/2015,USA,US,"Cambridge, MA",USA,US,"Benzonia, MI",male,1993,economics,,2,"""for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change""",Washington University,"St. Louis, MO",USA,1920
106,747,Sir Vidiadhar Surajprasad,Naipaul,17.08.32,,Trinidad,TT,,,,,male,2001,literature,,1,"""for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories""",,,,1932
107,688,Milton,Friedman,31.07.12,11/16/2006,USA,US,"Brooklyn, NY",USA,US,"San Francisco, CA",male,1976,economics,,1,"""for his achievements in the fields of consumption analysis, monetary history and theory and for his demonstration of the complexity of stabilization policy""",University of Chicago,"Chicago, IL",USA,1912
108,593,William Butler,Yeats,1865-06-13,1/28/1939,Ireland,IE,Dublin,France,FR,Roquebrune-Cap-Martin,male,1923,literature,,1,"""for his always inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation""",,,,1865
109,926,Angus,Deaton,19.10.45,,United Kingdom,GB,Edinburgh,,,,male,2015,economics,,1,"""for his analysis of consumption, poverty, and welfare""",Princeton University,"Princeton, NJ",USA,1945
110,847,Oliver E.,Williamson,27.09.32,,USA,US,"Superior, WI",,,,male,2009,economics,,2,"""for his analysis of economic governance, especially the boundaries of the firm""",University of California,"Berkeley, CA",USA,1932
111,695,James,Tobin,05.03.18,03.11.02,USA,US,"Champaign, IL",USA,US,"New Haven, CT",male,1981,economics,,1,"""for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices""",Yale University,"New Haven, CT",USA,1918
112,807,Edmund S.,Phelps,26.07.33,,USA,US,"Evanston, IL",,,,male,2006,economics,,1,"""for his analysis of intertemporal tradeoffs in macroeconomic policy""",Columbia University,"New York, NY",USA,1933
113,915,Jean,Tirole,09.08.53,,France,FR,Troyes,,,,male,2014,economics,,1,"""for his analysis of market power and regulation""",Toulouse School of Economics (TSE),Toulouse,France,1953
114,720,Robert A.,Mundell,24.10.32,,Canada,CA,"Kingston, ON",,,,male,1999,economics,,1,"""for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas""",Columbia University,"New York, NY",USA,1932
115,834,Paul,Krugman,28.02.53,,USA,US,"New York, NY",,,,male,2008,economics,,1,"""for his analysis of trade patterns and location of economic activity""",Princeton University,"Princeton, NJ",USA,1953
116,587,Henrik,Pontoppidan,1857-07-24,8/21/1943,Denmark,DK,Fredericia,Denmark,DK,Ordrup,male,1917,literature,,2,"""for his authentic descriptions of present-day life in Denmark""",,,,1857
117,110,Pyotr Leonidovich,Kapitsa,1894-07-09,04.08.84,Russian Empire (now Russia),RU,Kronshtadt,USSR (now Russia),RU,Moscow,male,1978,physics,,2,"""for his basic inventions and discoveries in the area of low-temperature physics""",Academy of Sciences,Moscow,USSR,1894
118,166,Eduard,Buchner,1860-05-20,8/13/2017,Bavaria (now Germany),DE,Munich,Romania,RO,Focsani,male,1907,chemistry,,1,"""for his biochemical researches and his discovery of cell-free fermentation""",Landwirtschaftliche Hochschule (Agricultural College),Berlin,Germany,1860
119,607,Luigi,Pirandello,1867-06-28,12.10.36,Italy,IT,"Agrigento, Sicily",Italy,IT,Rome,male,1934,literature,,1,"""for his bold and ingenious revival of dramatic and scenic art""",,,,1867
120,854,Mario,Vargas Llosa,28.03.36,,Peru,PE,Arequipa,,,,male,2010,literature,,1,"""for his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat""",,,,1936
121,703,Trygve,Haavelmo,13.12.11,7/26/1999,Norway,NO,Skedsmo,Norway,NO,Oslo,male,1989,economics,,1,"""for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures""",University of Oslo,Oslo,Norway,1911
122,618,Andr_ Paul Guillaume,Gide,1869-11-22,2/19/1951,France,FR,Paris,France,FR,Paris,male,1947,literature,,1,"""for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight""",,,,1869
123,280,George A.,Olah,22.05.27,,Hungary,HU,Budapest,,,,male,1994,chemistry,,1,"""for his contribution to carbocation chemistry""",University of Southern California,"Los Angeles, CA",USA,1927
124,120,Kai M.,Siegbahn,19.04.18,7/20/2007,Sweden,SE,Lund,Sweden,SE,óngelholm,male,1981,physics,,2,"""for his contribution to the development of high-resolution electron spectroscopy""",Uppsala University,Uppsala,Sweden,1918
125,48,Otto,Stern,1888-02-17,8/17/1969,Germany (now Poland),PL,Sorau (now Zory),USA,US,"Berkeley, CA",male,1943,physics,,1,"""for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton""",Carnegie Institute of Technology,"Pittsburgh, PA",USA,1888
126,791,Roy J.,Glauber,01.09.25,,USA,US,"New York, NY",,,,male,2005,physics,,2,"""for his contribution to the quantum theory of optical coherence""",Harvard University,"Cambridge, MA",USA,1925
127,251,Peter D.,Mitchell,29.09.20,04.10.92,United Kingdom,GB,Mitcham,United Kingdom,GB,Bodmin,male,1978,chemistry,,1,"""for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory""",Glynn Research Laboratories,Bodmin,United Kingdom,1920
128,90,Murray,Gell-Mann,15.09.29,,USA,US,"New York, NY",,,,male,1969,physics,,1,"""for his contributions and discoveries concerning the classification of elementary particles and their interactions""",California Institute of Technology (Caltech),"Pasadena, CA",USA,1929
129,209,William Francis,Giauque,1895-05-12,3/28/1982,Canada,CA,Niagara Falls,USA,US,"Berkeley, CA",male,1949,chemistry,,1,"""for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures""",University of California,"Berkeley, CA",USA,1895
130,250,Ilya,Prigogine,25.01.17,5/28/2003,Russia,RU,Moscow,Belgium,BE,Brussels,male,1977,chemistry,,1,"""for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures""",University of Texas,"Austin, TX",USA,1917
131,250,Ilya,Prigogine,25.01.17,5/28/2003,Russia,RU,Moscow,Belgium,BE,Brussels,male,1977,chemistry,,1,"""for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures""",Universit_ Libre de Bruxelles,Brussels,Belgium,1917
132,195,Petrus (Peter) Josephus Wilhelmus,Debye,1884-03-24,11.02.66,the Netherlands,NL,Maastricht,USA,US,"Ithaca, NY",male,1936,chemistry,,1,"""for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases""",Berlin University,Berlin,Germany,1884
133,195,Petrus (Peter) Josephus Wilhelmus,Debye,1884-03-24,11.02.66,the Netherlands,NL,Maastricht,USA,US,"Ithaca, NY",male,1936,chemistry,,1,"""for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases""",Kaiser-Wilhelm-Institut (now Max-Planck-Institut) fôr Physik,Berlin,Germany,1884
134,179,Frederick,Soddy,1877-09-02,9/22/1956,United Kingdom,GB,Eastbourne,United Kingdom,GB,Brighton,male,1921,chemistry,,1,"""for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes""",University of Oxford,Oxford,United Kingdom,1877
